date,firm_id,E,sigma_E,D,r,V,sigma_V,DD,PD_raw,PD_smoothed,success
2020-08-13,F,20893.6,0.3735,139485.0,0.0124,158655.21150798583,0.04928204885435074,2.6700158626148394,0.0022555448254844117,0.014232582978883173,True
2020-08-14,F,20932.8,0.3733,139485.0,0.0124,158694.43527637713,0.04933528559749966,2.671478838463916,0.0022421978737530985,0.01303354438986339,True
2020-08-17,F,20776.0,0.3714,139485.0,0.0124,158537.88705139284,0.048760738274722,2.6854251351341802,0.0021468695678812646,0.011944876843512945,True
2020-08-18,F,20501.6,0.372,139485.0,0.0123,158277.20531356017,0.048275986908907165,2.680991036451923,0.002194655170907029,0.010969854624542476,True
2020-08-19,F,20423.2,0.3716,139485.0,0.0123,158198.86016936554,0.04806278158092242,2.683933382625889,0.002177134984740905,0.010090582618593693,True
2020-08-20,F,20344.8,0.3471,139485.0,0.0123,158122.75250782125,0.044702290925093674,2.876550009527162,0.0011127825105220624,0.009192802569219697,True
2020-08-21,F,19796.0,0.3386,139485.0,0.0122,157588.2417444349,0.042566352602486056,2.949579966584088,0.0008677705755801104,0.008360299337669335,True
2020-08-24,F,20776.0,0.3612,139485.0,0.0122,158566.57146183445,0.047392666795266235,2.7626857341241653,0.0016455399947067704,0.007688823380008417,True
2020-08-25,F,20658.4,0.3367,139485.0,0.0122,158450.72637304544,0.04392807454295765,2.966357628533592,0.0007944698093757295,0.006999388001354529,True
2020-08-26,F,20266.4,0.2956,139485.0,0.0121,158073.5996410209,0.03790366377829292,3.381238041611445,0.0001585904772183347,0.006315308229660298,True
2020-08-27,F,20540.8,0.2936,139485.0,0.0121,158348.02033170313,0.03809027730387262,3.404310835097248,0.0001425045443039553,0.005698027845466564,True
2020-08-28,F,20658.4,0.2925,139485.0,0.0121,158465.63096317195,0.038136231227246284,3.4171364139968747,0.000134421403776818,0.005141667188596076,True
2020-08-31,F,20266.4,0.2905,139485.0,0.012,158087.43024856536,0.037245331669520376,3.4407531905600512,0.00012375469392345478,0.004639875928818672,True
