date,firm_id,equity_vol
2020-04-17,JPM,1.2209
2020-04-20,JPM,1.2164
2020-04-21,JPM,1.1525
2020-04-22,JPM,1.1296
2020-04-23,JPM,1.1212
2020-04-24,JPM,1.0939
2020-04-27,JPM,0.9664
2020-04-28,JPM,0.8575
2020-04-29,JPM,0.8434
2020-04-30,JPM,0.7826
2020-05-01,JPM,0.7873
2020-05-04,JPM,0.7852
2020-05-05,JPM,0.7658
2020-05-06,JPM,0.6905
2020-05-07,JPM,0.6829
2020-05-08,JPM,0.6531
2020-05-11,JPM,0.6245
2020-05-12,JPM,0.627
2020-05-13,JPM,0.6257
2020-05-14,JPM,0.6092
2020-05-15,JPM,0.6027
2020-05-18,JPM,0.6144
2020-05-19,JPM,0.5894
2020-05-20,JPM,0.5946
2020-05-21,JPM,0.5838
2020-05-22,JPM,0.5169
2020-05-26,JPM,0.546
2020-05-27,JPM,0.5648
2020-05-28,JPM,0.5458
2020-05-29,JPM,0.5386
2020-06-01,JPM,0.4746
2020-06-02,JPM,0.4607
2020-06-03,JPM,0.4733
2020-06-04,JPM,0.4753
2020-06-05,JPM,0.4879
2020-06-08,JPM,0.4888
2020-06-09,JPM,0.4864
2020-06-10,JPM,0.5044
2020-06-11,JPM,0.5594
2020-06-12,JPM,0.5607
2020-06-15,JPM,0.5552
2020-06-16,JPM,0.5534
2020-06-17,JPM,0.5597
2020-06-18,JPM,0.5565
2020-06-19,JPM,0.5578
2020-06-22,JPM,0.5577
2020-06-23,JPM,0.5503
2020-06-24,JPM,0.5507
2020-06-25,JPM,0.5459
2020-06-26,JPM,0.5621
2020-06-29,JPM,0.5586
2020-06-30,JPM,0.5391
2020-07-01,JPM,0.5362
2020-07-02,JPM,0.5297
2020-07-06,JPM,0.5324
2020-07-07,JPM,0.5391
2020-07-08,JPM,0.4988
2020-07-09,JPM,0.4709
2020-07-10,JPM,0.4977
2020-07-13,JPM,0.4936
2020-07-14,JPM,0.4925
2020-07-15,JPM,0.4943
2020-07-16,JPM,0.4683
2020-07-17,JPM,0.4665
2020-07-20,JPM,0.445
2020-07-21,JPM,0.4458
2020-07-22,JPM,0.4411
2020-07-23,JPM,0.4268
2020-07-24,JPM,0.35
2020-07-27,JPM,0.3434
2020-07-28,JPM,0.341
2020-07-29,JPM,0.3479
2020-07-30,JPM,0.3488
2020-07-31,JPM,0.3486
2020-08-03,JPM,0.3474
2020-08-04,JPM,0.3463
2020-08-05,JPM,0.3482
2020-08-06,JPM,0.3332
2020-08-07,JPM,0.324
2020-08-10,JPM,0.2788
2020-08-11,JPM,0.2907
2020-08-12,JPM,0.2921
2020-08-13,JPM,0.2912
2020-08-14,JPM,0.2913
2020-08-17,JPM,0.2962
2020-08-18,JPM,0.2864
2020-08-19,JPM,0.2853
2020-08-20,JPM,0.2796
2020-08-21,JPM,0.2314
2020-08-24,JPM,0.2418
2020-08-25,JPM,0.2416
2020-08-26,JPM,0.2413
2020-08-27,JPM,0.2595
2020-08-28,JPM,0.253
2020-08-31,JPM,0.2631
2020-09-01,JPM,0.2558
2020-09-02,JPM,0.2582
2020-09-03,JPM,0.2584
2020-09-04,JPM,0.264
2020-09-08,JPM,0.2811
2020-09-09,JPM,0.282
2020-09-10,JPM,0.2754
2020-09-11,JPM,0.2653
